"1、我很享受观看这个视频。
I enjoy watching this video.";"2、我觉得这个视频很意思。
I think this video is very interesting.";"3、我喜欢视频里博主介绍产品的方式。
I like the way in which the speaker presents the product.";"4、我觉得视频里的弹幕是由美妆护肤方面的专家用户发布的。
The bullet screen in this video are produced by individuals who are experts in skincare.";"5、我觉得视频里的弹幕是由拥有丰富美妆护肤经验的用户发布的。
The bullet screen in this video are produced by individuals who are experienced in skincare.";"6、我觉得视频里的弹幕是由在美妆护肤方面拥有渊博知识的用户发布的。
The bullet screen in this video are produced by individuals who are knowledgeable in skincare.";"7、我觉得视频里的弹幕是由在美妆护肤方面有资质的用户发布的。
The bullet screen in this video are produced by individuals who are qualified in skincare.";"8、我觉得视频里的弹幕是由在美妆护肤方面熟练的用户发布的。
The bullet screen in this video are produced by individuals who are skilled in skincare.";"9、我觉得视频里的弹幕信息是可靠的。
I find the information shared in the bullet screen in this video dependable.";"10、我觉得视频里的弹幕信息是诚实的。
I find the information shared in the bullet screen in this video honest.";"11、我觉得视频里的弹幕信息是真诚的。
I find the information shared in the bullet screen in this video sincere.";"12、我觉得视频里的弹幕信息是可信赖的的。
I find the information shared in the bullet screen in this video trustworthy.";"13、阅读视频里的弹幕可以让我获得关于欧莱雅防晒小金瓶有用并且有意思的产品信息。
Reading the information in the bullet screen allows me to acquire useful and interesting information about this sunscreen product.";"14、阅读视频里的弹幕会提高我的购物决策过程的效率（比如，更快的做出购物决策、在更短的时间内找到相关产品信息）。
Reading the information in the bullet screen would add the effectiveness of my buying process.(e.g., make purchase decisions or find product information within the shortest time frame).";"15、阅读视频里的弹幕会提高我在购物决策中的生产力。
Reading the information in the bullet screen would increase the productivity of my buying process.";"16、防晒类产品是我近期打算购买的产品类别。
Sunscreen is a category of products that I intend to purchase in the near future.";"17、在看完这个视频以后，我很有可能会去购买这款防晒产品。
I am likely to purchase this sunscreen after watching the video.";"18、我打算在...购买这款防晒产品。
I expect to buy this sunscreen product ....";"19、基于我观看的内容，我很有可能会推荐这款防晒产品给我的朋友或者家人。
Based on what I watched, I am likely to recommend this sunscreen product to a friend or family member.";"20、我经常在网上购物。
I often shop online.";"21、我经常会在浏览完有关产品的推荐信息之后购买产品（比如网络上相关的视频、文章、帖子）。
I often make a purchase after reviewing product recommendation (videos, articles, posts online).";"22、我每天使用防晒霜。
I put sunscreen every day.";"23、我对巴黎欧莱雅这个品牌比较熟悉。
I am familiar with this brand (L’Oréal Paris).";"24、我经常在Bilibili看视频。
I often watch videos on this platform (bilibili).";"25、我经常在Bilibili上打开弹幕观看视频。
I often watch videos on this platform (bilibili) with bullet screen.";"26、在我的日常生活中，我会经常浏览一些分享有关美妆护肤类产品信息的视频。
In my daily life, I often watch this type of videos which share beauty products information.";"27、我一般比较信任他人。
I generally trust other people.";28、您的年龄：(请输入数字);29、您目前从事的职业：
2;3;2;3;2;2;2;2;2;1;2;4;1;2;2;2;1;1;1;1;1;1;1;1;2;2;2;23;9
2;2;3;7;6;7;5;3;4;2;2;3;3;5;3;6;5;-3;2;1;3;4;5;1;1;3;2;24;10
6;6;6;6;1;5;4;2;6;6;6;6;4;5;5;1;4;6;4;1;1;1;2;1;1;1;3;25;1
4;4;4;5;2;4;4;2;4;4;4;4;3;4;3;2;2;2;4;1;1;4;1;3;3;2;1;29;3
4;4;4;6;6;6;2;2;4;4;4;4;2;2;2;1;4;6;4;1;1;4;2;1;1;3;4;25;12
4;6;4;7;5;5;5;4;4;5;4;4;3;1;3;1;5;-3;4;1;1;2;4;4;2;4;6;23;1
5;5;5;5;4;7;7;2;3;3;4;4;3;1;2;6;5;-3;3;1;1;2;1;1;1;1;2;24;8
4;5;5;7;6;6;6;6;6;5;4;5;4;5;5;6;4;5;4;2;3;2;2;1;4;2;5;24;1
4;5;4;4;2;4;4;2;3;3;3;3;2;2;2;2;3;6;5;1;1;2;1;1;1;1;5;24;3
3;3;3;6;6;6;4;4;4;4;4;4;3;3;5;2;3;6;4;1;1;6;1;1;6;6;5;24;1
4;3;4;6;5;6;6;5;5;5;5;5;4;4;5;2;3;6;6;2;4;6;5;1;1;2;4;24;1
6;7;7;7;7;7;6;3;6;4;4;4;5;7;7;4;5;-3;7;1;3;5;3;7;7;5;3;26;1
4;4;4;7;4;7;4;4;3;2;2;2;2;2;2;7;4;3;3;1;1;4;1;1;1;2;3;25;15
5;4;6;6;5;4;5;5;5;5;4;5;4;5;6;3;7;-3;5;4;6;6;6;4;5;5;7;39;2
2;2;2;6;2;4;4;3;5;5;5;5;2;2;2;2;5;-3;4;2;2;4;3;2;2;2;2;25;9
1;1;2;1;1;1;1;1;2;1;1;2;2;1;2;1;1;2;1;1;2;1;1;1;1;1;1;36;15
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;25;1
5;6;4;5;4;4;4;3;5;3;3;4;3;4;5;5;7;-3;6;2;3;5;7;7;7;5;3;24;1
5;4;4;3;5;4;5;2;7;7;3;6;3;1;6;1;4;2;5;3;3;6;3;1;1;2;6;24;1
2;3;2;4;4;4;5;3;5;5;5;5;6;6;6;1;5;-3;6;1;3;3;2;4;6;4;3;23;1
4;4;4;5;2;4;3;2;3;4;4;4;3;2;3;4;4;6;4;1;1;1;2;1;1;1;3;24;15
3;2;2;5;3;4;5;3;5;5;3;5;3;3;3;3;3;2;3;2;2;4;3;2;4;4;4;24;1
1;1;2;4;2;2;2;3;3;3;3;3;1;1;1;3;5;-3;5;1;1;2;1;1;1;1;1;23;1
4;5;5;4;5;5;5;5;6;5;6;5;5;5;5;2;2;3;3;4;4;4;3;4;4;5;3;26;1
5;5;5;7;5;5;5;5;5;4;4;5;5;6;4;2;4;6;5;2;3;3;3;4;4;3;5;25;1
1;1;2;5;4;4;3;1;4;4;2;3;2;2;4;4;2;6;3;1;2;7;7;7;1;3;4;24;1
3;4;3;7;7;6;6;5;5;5;6;7;4;7;7;1;2;2;4;2;1;5;1;2;4;2;3;25;1
4;5;4;7;7;7;5;5;4;4;4;4;3;3;3;5;5;-3;5;3;5;7;1;1;1;1;4;22;1
2;3;4;5;4;4;4;4;4;4;4;4;3;4;4;4;4;6;4;3;3;4;4;4;4;4;4;24;1
5;5;5;6;6;6;6;6;4;4;4;4;1;2;2;1;2;2;4;2;4;6;1;5;2;5;3;24;1
5;5;5;6;5;6;4;3;5;6;5;5;5;5;5;5;4;6;4;3;6;6;4;2;7;4;5;25;1
4;6;6;7;7;7;7;4;6;6;6;6;6;6;6;2;6;-3;6;1;1;4;1;1;1;1;6;22;1
5;4;3;5;3;4;6;3;4;3;3;4;2;3;3;1;4;6;6;1;1;7;2;1;1;2;4;24;1
1;1;2;6;4;5;4;3;4;3;2;3;2;1;1;1;3;2;5;1;1;5;2;6;3;1;4;24;1
2;3;3;6;2;3;3;3;3;2;2;2;3;3;2;2;4;6;5;1;1;1;1;1;1;1;1;24;1
6;7;7;7;4;5;5;6;5;5;3;5;6;6;6;7;7;-3;6;4;5;2;4;1;1;4;6;23;1
2;3;5;6;6;2;5;4;4;3;2;4;3;7;5;7;6;-3;7;1;3;5;1;6;7;7;4;22;1
4;4;3;1;1;1;1;5;4;4;4;5;4;2;2;1;4;6;4;1;1;2;2;6;6;1;6;30;1
1;1;1;4;4;4;4;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;23;1
4;4;4;6;6;6;5;5;6;5;5;5;4;5;5;5;6;-3;6;2;3;4;3;2;1;2;5;25;1
7;7;7;6;5;6;6;6;6;4;6;7;7;7;7;1;7;-3;7;1;2;2;3;1;2;2;3;25;4
6;6;6;6;5;5;5;5;5;5;4;4;5;5;5;7;7;-3;7;1;2;5;6;1;1;3;4;23;15
4;4;3;6;5;5;5;3;5;2;2;4;5;6;7;2;4;2;4;2;2;4;2;1;1;2;3;23;1
1;1;1;6;1;6;5;1;2;2;2;2;1;1;1;1;2;2;2;1;1;1;1;1;1;1;2;28;11
4;5;5;6;3;6;3;2;6;5;4;4;3;5;3;3;4;4;4;3;3;5;5;3;5;2;5;25;12
4;4;5;5;5;5;5;5;7;7;7;7;7;4;4;3;6;-3;6;1;1;4;1;1;1;1;4;24;12
4;4;5;3;3;5;5;2;5;6;5;5;2;2;2;1;1;6;5;1;6;5;4;7;7;7;7;28;15
4;5;5;6;3;5;3;3;4;4;4;4;5;2;2;1;5;-3;5;1;1;5;4;7;7;2;3;20;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;6;4;1;1;1;5;21;1
4;5;5;3;3;5;5;5;6;4;6;3;5;4;6;6;5;-3;3;4;4;6;4;6;2;5;5;22;1
4;4;1;7;2;7;4;2;6;6;3;3;1;1;1;1;1;2;7;1;1;6;1;1;1;1;1;23;15
4;4;3;6;5;5;3;3;4;4;4;4;3;3;3;1;3;6;4;1;1;2;2;1;1;1;3;24;9
2;3;2;7;5;7;3;2;2;2;4;2;3;2;2;1;2;6;5;1;1;1;3;1;3;1;2;21;1
5;4;4;6;2;5;3;2;4;2;2;4;2;5;5;3;4;6;4;2;3;5;3;7;7;3;3;24;8
5;7;4;7;5;5;5;3;5;4;4;4;3;4;3;2;4;6;6;1;1;3;3;2;1;2;3;23;1
1;1;3;3;2;3;3;1;4;5;5;4;3;1;1;1;1;6;4;1;1;1;2;1;1;1;7;23;9
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;24;1
1;1;1;3;1;2;2;1;1;2;2;1;1;1;1;2;1;6;1;1;3;7;4;7;1;3;4;22;10
4;4;4;5;3;4;4;2;4;4;4;4;3;1;2;5;4;6;4;1;1;2;2;1;1;3;4;25;1
4;4;4;4;5;5;4;3;4;4;5;5;3;3;4;4;5;-3;4;2;2;4;4;2;7;5;4;25;14
3;3;5;5;4;4;4;3;3;3;3;2;3;3;3;5;4;2;5;5;5;6;5;1;1;4;3;23;15
4;5;5;5;2;5;3;3;3;3;3;3;3;4;4;5;5;-3;6;2;2;7;4;1;2;3;3;24;1
4;4;4;6;6;6;3;3;3;3;3;3;1;1;1;6;6;-3;3;1;1;6;2;1;3;3;2;24;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;20;5
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;29;15
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;1;1;1;1;1;1;1;1;1;24;3
3;2;3;5;4;5;5;4;4;4;5;5;4;3;4;4;5;-3;5;3;4;4;3;6;5;3;4;21;1
4;4;4;4;3;5;4;3;5;5;4;5;5;4;4;5;5;-3;4;2;4;5;3;4;3;3;5;20;1
3;3;4;6;3;4;4;3;5;5;5;5;4;3;3;6;5;-3;4;2;3;5;6;1;1;3;4;23;15
3;4;3;6;6;5;5;5;5;3;3;5;3;4;4;6;5;-3;5;3;3;6;2;2;2;6;6;23;1
4;4;4;5;5;5;5;5;5;5;5;5;6;6;6;4;6;-3;6;5;6;1;5;7;7;5;5;25;3
2;2;2;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;1;2;4;2;2;1;1;2;24;7
4;4;4;6;6;6;6;6;5;5;4;6;2;4;4;2;5;-3;5;1;5;2;5;3;5;4;6;25;4
4;4;3;6;5;5;5;5;5;5;5;5;4;3;3;4;4;6;4;2;1;5;5;5;5;3;4;20;1
1;1;1;7;5;5;5;5;4;4;4;4;3;2;2;4;6;-3;2;1;1;1;4;4;4;2;3;23;15
4;5;5;7;4;7;6;3;5;5;5;5;6;3;3;1;7;-3;7;1;3;2;2;1;1;2;5;24;10
3;3;3;7;7;7;7;5;4;4;4;4;3;3;3;4;3;4;6;1;4;1;3;3;3;3;4;24;8
2;3;3;6;5;6;7;4;4;4;4;4;4;3;3;4;7;-3;7;1;1;1;2;1;1;2;4;24;8
4;3;4;4;3;4;2;3;3;4;3;3;3;4;3;3;3;6;4;2;3;5;3;3;3;3;4;24;10
5;5;4;7;5;5;4;3;4;5;4;4;3;3;3;2;3;3;3;1;1;2;3;1;1;1;3;24;1
6;4;6;6;4;4;4;4;3;3;3;3;3;3;1;4;6;-3;6;1;6;7;3;1;1;5;2;25;15
1;1;1;3;3;2;3;1;3;3;3;3;3;3;4;5;5;-3;4;1;3;1;1;1;1;3;5;24;1
4;5;4;4;5;5;5;5;4;4;4;5;5;6;6;1;6;-3;5;1;3;2;4;6;6;6;4;28;10
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;1;1;1;1;1;1;1;1;4;23;15
5;4;5;3;3;4;4;4;5;5;5;5;5;5;5;4;5;-3;5;3;4;1;5;4;5;5;5;28;15
4;3;4;5;3;4;5;3;3;2;2;3;4;4;4;3;5;-3;4;4;3;1;3;2;2;3;3;24;1
5;4;5;7;5;7;7;4;7;7;5;6;3;4;4;2;5;-3;6;1;2;4;3;2;3;2;1;24;15
4;4;4;2;4;5;3;2;6;6;6;6;5;3;3;1;4;6;7;1;1;3;4;6;1;2;3;25;11
3;4;2;7;3;3;5;2;2;2;2;3;2;1;1;7;6;-3;6;1;1;2;4;1;1;3;2;24;12
7;7;7;7;4;4;5;2;3;3;3;3;2;2;3;3;2;6;6;1;4;2;2;1;1;3;2;23;1
1;1;2;4;4;4;4;1;5;5;5;5;3;4;4;2;2;2;5;1;1;6;3;4;1;1;4;25;6
4;4;5;6;3;7;6;3;5;5;4;6;5;3;3;2;5;-3;5;1;1;1;4;1;1;4;4;24;15
4;5;5;5;4;5;5;3;3;3;3;3;6;4;4;3;6;-3;6;1;1;2;2;2;2;3;4;24;15
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;2;1;1;1;1;1;1;4;1;4;25;3
5;6;7;7;3;4;4;4;6;4;4;4;5;3;4;7;6;-3;7;5;7;7;7;1;1;4;6;22;1
5;6;5;6;5;5;5;4;4;3;3;4;6;6;7;3;5;-3;6;2;4;6;5;2;6;2;3;22;1
4;5;4;6;5;6;6;6;6;5;5;3;4;3;3;5;3;6;4;2;1;3;2;4;2;2;5;24;5
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;26;14
4;4;4;7;7;7;7;7;5;5;5;5;5;5;5;4;4;6;4;1;1;7;3;4;3;3;4;23;15
2;2;4;6;1;6;4;2;4;4;4;4;4;4;5;2;4;6;5;1;1;1;3;5;5;1;3;24;1
5;5;5;6;4;4;4;4;4;4;4;4;3;4;4;7;6;-3;4;4;4;7;6;4;3;7;4;26;15
2;2;2;5;3;4;3;3;3;2;3;3;2;2;2;2;2;2;2;1;2;2;2;3;2;2;3;25;15
4;4;4;6;6;6;6;4;4;4;2;6;2;2;2;2;4;6;4;1;1;4;1;1;1;2;6;21;1
